GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-docker,com.company,IndexController,5,8,0,0,2,3,1,2,1,2
spring-boot-docker,com.company,Main,5,3,0,0,2,1,1,1,1,1
